dataset_type,window_id,train_start,train_end,test_start,test_end,generation,min_impulse_candles,max_duration_ms,diagonal_imbalance_ratio_threshold,min_imbalance_count,take_profit_ticks,stop_loss_ticks,fitness,number_of_trades,net_profit,gross_profit,gross_loss,profit_factor,max_drawdown,win_rate,expectancy,biggest_loss,longest_losing_streak
train,1,0,86986,86986,125287,87,15,1261,3.0,9,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,87,15,1261,3.0,9,16,2,0.0,5,0.0,76.0,76.0,1.0,76.0,0.2,0.0,19.0,4
train,1,0,86986,86986,125287,88,15,1598,3.0,8,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,88,15,1598,3.0,8,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,89,15,1508,3.0,6,16,4,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,89,15,1508,3.0,6,16,4,249.0,8,83.0,228.0,145.0,1.5724137931034483,116.0,0.375,10.375,29.0,4
train,1,0,86986,86986,125287,90,15,1432,3.5,4,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,90,15,1432,3.5,4,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,91,15,1508,3.5,6,16,2,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,91,15,1508,3.5,6,16,2,399.0,8,133.0,228.0,95.0,2.4,76.0,0.375,16.625,19.0,4
train,1,0,86986,86986,125287,92,15,1598,3.25,4,16,4,228.0,3,228.0,228.0,0.0,inf,0.0,1.0,76.0,0.0,0
test,1,0,86986,86986,125287,92,15,1598,3.25,4,16,4,249.0,8,83.0,228.0,145.0,1.5724137931034483,116.0,0.375,10.375,29.0,4
