generation,window_id,train_start,train_end,test_start,test_end,best_fitness,average_fitness,median_fitness,worst_fitness,std_fitness,fitness_range,patience_counter,walk_forward_type,fitness_function,train_size,repetition
58,1,0,53560,53560,86986,333.36466519413847,316.76206459897526,333.36466519413847,95.88367952889584,54.26672672560776,237.48098566524263,28,rolling,losing_streak_fitness,2_days,rep_1
59,1,0,53560,53560,86986,333.36466519413847,316.19217871434694,333.36466519413847,95.88367952889584,52.04090879179124,237.48098566524263,29,rolling,losing_streak_fitness,2_days,rep_1
60,1,0,53560,53560,86986,333.36466519413847,303.03730437934854,333.36466519413847,95.88367952889584,71.90398914679561,237.48098566524263,30,rolling,losing_streak_fitness,2_days,rep_1
61,1,0,53560,53560,86986,424.2384235309197,319.73871000563486,333.36466519413847,95.88367952889584,50.50909030533821,328.35474400202384,0,rolling,losing_streak_fitness,2_days,rep_1
62,1,0,53560,53560,86986,424.2384235309197,312.8928782916853,333.36466519413847,95.88367952889584,70.01174675296046,328.35474400202384,1,rolling,losing_streak_fitness,2_days,rep_1
63,1,0,53560,53560,86986,424.2384235309197,321.0998905312642,333.36466519413847,95.88367952889584,70.84632694040901,328.35474400202384,2,rolling,losing_streak_fitness,2_days,rep_1
64,1,0,53560,53560,86986,424.2384235309197,325.2937956751164,333.36466519413847,95.88367952889584,92.22064312572256,328.35474400202384,3,rolling,losing_streak_fitness,2_days,rep_1
65,1,0,53560,53560,86986,424.2384235309197,363.1506079607256,424.2384235309197,8.73053390247253,89.17908056686555,415.5078896284472,4,rolling,losing_streak_fitness,2_days,rep_1
66,1,0,53560,53560,86986,424.2384235309197,400.625221473635,424.2384235309197,95.88367952889584,60.96605638072796,328.35474400202384,5,rolling,losing_streak_fitness,2_days,rep_1
67,1,0,53560,53560,86986,424.2384235309197,388.9898663004679,424.2384235309197,115.9913789899922,83.9407602289986,308.2470445409275,6,rolling,losing_streak_fitness,2_days,rep_1
68,1,0,53560,53560,86986,424.2384235309197,400.6929962468486,424.2384235309197,139.90353819685905,63.20803858979252,284.3348853340607,7,rolling,losing_streak_fitness,2_days,rep_1
69,1,0,53560,53560,86986,424.2384235309197,388.9031736190162,424.2384235309197,95.88367952889584,82.29210948882451,328.35474400202384,8,rolling,losing_streak_fitness,2_days,rep_1
70,1,0,53560,53560,86986,424.2384235309197,398.5344240780091,424.2384235309197,115.9913789899922,70.55045636809803,308.2470445409275,9,rolling,losing_streak_fitness,2_days,rep_1
71,1,0,53560,53560,86986,424.2384235309197,402.88105496059137,424.2384235309197,95.88367952889584,67.96312699739927,328.35474400202384,10,rolling,losing_streak_fitness,2_days,rep_1
72,1,0,53560,53560,86986,424.2384235309197,401.5961339126741,424.2384235309197,115.9913789899922,61.607233200855184,308.2470445409275,11,rolling,losing_streak_fitness,2_days,rep_1
73,1,0,53560,53560,86986,424.2384235309197,413.1017297124004,424.2384235309197,95.88367952889584,50.26656527422142,328.35474400202384,12,rolling,losing_streak_fitness,2_days,rep_1
